userid;bookid;score
270713;0312978383;0
270265;0882898841;8
274308;0373765320;0
257198;0446364517;7
247423;1579544592;0
252820;0874778247;0
269566;0152431055;0
242007;0446363251;10
274308;0451195922;0
243966;0590852965;0
249633;0399146253;6
266819;044922046X;5
241980;0750923490;0
256023;0061058076;0
264358;0394700023;0
243328;0425190641;0
250764;0451203615;0
251422;0140083170;0
258093;0316096199;8
271531;0373484623;8
261915;0671003755;8
257962;0671679902;0
257700;0373708734;0
257204;1560763183;0
276369;0425083837;5
264321;037329039X;0
266226;0312077564;7
246655;1551669021;0
241306;0440928397;0
257548;0553293761;0
247201;1857022424;0
245287;1562056867;0
266056;0451409221;8
250359;0345397215;0
270121;1573221643;10
257969;0684814994;0
242824;037328604X;0
271176;0822000598;0
266226;0553268465;0
245371;1551920093;0
264321;0553296582;0
259064;0886461839;0
245645;014025448X;0
275970;0060536799;0
251003;0441790348;8
242824;0373707037;0
242962;0373872534;0
258185;0821768379;0
251140;014028009X;10
250764;0553565060;0
257204;0671721097;0
245827;0690013590;0
254465;1551668629;0
271503;0140179836;0
254543;067102177X;0
241198;3518371266;0
263163;0060926430;0
256407;0446609625;0
269309;0761102426;8
246655;0312906196;0
255489;0373254253;0
260897;0020198817;0
274308;0891901639;0
242361;0515122491;0
245963;156955028X;1
252071;0316969443;6
265115;1575667223;10
266866;0140258574;0
249989;0446610038;0
250645;0380720477;0
266226;0756401860;0
240568;0684847957;0
264321;0821767380;0
242006;0425176940;0
266842;0451458990;7
260897;0440122090;0
264355;0590471570;0
268622;0345340248;0
252695;0449206874;0
276680;0671724479;9
250010;0385021747;0
271705;0517542021;0
252695;0440208459;0
251613;0425055388;0
276307;0786707941;5
240829;0440146208;0
246586;3453074971;5
263979;0961931116;0
243651;0373260199;0
244171;0156007754;10
274808;1932100040;0
257145;0517707918;0
244445;0385335830;5
264321;0060987561;0
254465;0061085650;0
272225;0750901314;8
247447;0373218362;0
264972;0425167313;0
254313;0060906375;10
256392;0440114764;0
254465;0373290640;0
275970;0345383044;0
242288;0689818769;8
258460;0152164502;0
246156;0345462270;0
254465;0345384369;10
246655;0449215571;0
248508;0812827139;0
253867;0345436911;0
252848;0373704887;0
275154;086171315X;5
251140;0440509238;5
244688;038533656X;0
260771;0312983867;0
240236;0345313860;0
247447;0446363383;0
261567;8420428655;0
258152;0812509250;9
254716;3442424623;0
257204;0345363027;0
275970;0688179088;0
265115;0553561618;0
271654;0486225704;7
268711;0451521250;0
268932;0553090437;5
270128;0553107755;0
255407;0140011323;9
263454;0312291639;0
249352;0609608126;0
268110;0688177743;8
244688;0821772139;0
250764;0446672351;0
252806;0743237188;7
266056;087502050X;0
265784;0345424719;0
240445;055323336X;0
272982;0385498802;0
245371;0446310786;10
255943;1741040809;0
250997;0192833901;9
249989;0449003183;8
244602;0862725550;0
255489;0312284535;0
247447;0060008032;0
253871;0316096199;10
252695;1551665980;0
256167;0671724851;0
257204;0806903309;10
246480;0553581554;2
255761;0679732764;5
242118;0061010065;0
241042;0380722658;0
269719;0446605581;0
256247;0790008696;9
255618;0671724738;0
255576;0345452550;6
251613;0930014375;0
244742;0064406962;9
266807;0745933890;0
246655;0373243545;0
262399;0440214041;0
271195;0380799510;0
269321;0060001453;8
267409;0440945151;0
273461;3548252192;6
245963;0312928599;0
269782;0801319536;7
260196;0871136791;0
254465;0517082381;10
242118;0425178773;0
263460;0451452178;0
274061;0446676551;0
274061;0671708635;0
253657;0399149244;10
271303;0671042858;5
250739;887641486X;0
250506;0399142282;7
272225;185487537X;0
255218;0961592362;8
265889;042515405X;0
271448;0446675059;0
241042;0312966164;0
242465;0854870466;10
246671;0553570242;0
249894;0671741535;0
265889;0312869932;0
248669;0394589424;0
268030;0142002798;0
241942;3746614007;0
263407;8479354054;6
241401;0440211727;5
259757;0767905180;8
244873;0671013750;0
242106;0671799371;0
271503;0316107417;7
264031;0440236665;0
255489;0684146932;0
265889;0553574566;0
269701;1562470345;7
252695;0671653989;0
241949;0440236703;8
251844;0743457463;7
252695;042514092X;0
259260;0195052765;8
274466;0889223297;9
242824;0505526085;0
265313;0061007137;0
256402;0553575104;0
251422;0380010216;0
244286;0553275976;8
246655;0373163010;0
273086;0345370775;10
251140;0452269571;7
250184;0590451316;0
268032;0376033002;0
245827;0696012200;0
242006;0373115040;0
269566;1562398407;0
270737;051712436X;7
273923;0060199652;8
260183;0140434917;10
274004;0743222008;0
259249;0397323727;10
269719;0070212570;8
246513;0446612790;0
268330;0394868161;0
272573;0671036025;0
262399;0915811006;0
261086;8401464420;0
242824;0061080306;0
243768;3718501473;0
258152;0812576489;0
246448;067100316X;0
259066;0898153999;9
275970;0679418601;0
263877;0804111359;0
255974;1856979849;0
261862;0553289632;0
251422;0373059302;0
256167;0064410455;8
274325;1573229571;7
264753;0671670689;0
274308;0671646591;0
272021;0671822543;0
276224;0609804138;0
241980;157322930X;0
246216;074322454X;0
252695;0373762992;0
245963;0385050631;0
269916;1854306200;0
267165;0451164180;0
245410;044173118X;8
274301;0425175405;7
272395;1575663996;6
246655;0425176479;0
265889;0441005764;7
241614;0452260116;0
259320;0451153553;10
256412;0373196636;6
252071;0451172817;0
264321;0553561367;0
268330;0679427422;0
269566;0440236967;0
258938;1887791043;0
257514;0425182886;9
241666;0553581880;0
244993;0553382063;0
252071;0312954786;0
259901;0816737312;10
258938;1573225541;0
272640;0345407407;0
240710;0553246070;0
266641;0746026668;8
271284;0380719819;0
274301;0812525434;0
259901;0822502763;10
252007;1560764309;0
267510;0754014797;0
272225;000225414X;7
266866;0553280368;0
274004;0156027402;0
264637;0373291558;0
243312;0316106909;0
268330;0446363251;0
251843;0688163165;10
251843;0399143629;0
255846;0749923628;0
260215;3453122348;7
247471;074343627X;7
268228;1850784124;0
252695;0373762461;8
257515;0553573136;0
274111;8804410116;8
245963;0871136791;0
250405;0609600745;10
243471;0804105537;6
250184;0836217357;0
269719;0316966207;0
257390;0312924801;5
268032;0345402308;0
270935;0425040518;0
272715;0613174224;8
273270;0671776134;8
261829;0440234743;0
242824;0590483463;0
256023;1562827480;7
275020;0876857357;0
247278;0425156966;7
274887;0758200099;0
255489;1842222740;0
261105;0140430105;0
250733;0345363310;0
263560;037325055X;5
245371;0449211479;0
254144;1558745157;10
267510;0140432639;0
265751;0517556278;9
274301;0140258582;8
247873;0933134819;0
249407;0373872062;0
246104;0345383249;0
257548;0553568701;6
264637;0840776446;0
264321;0812580346;0
263163;0394931297;7
260944;0316693251;0
265083;0671728091;0
254465;0553262645;10
254166;0595261647;0
266226;0140033327;0
250342;0689803710;9
254899;0671899422;0
269566;0486423670;0
259430;0671021001;0
251422;0345339703;0
259430;0316601950;5
245963;0749300582;0
271604;0765342588;9
276307;0743225082;0
244189;0142004227;9
250303;1400060923;0
262051;0374281602;9
275947;0440176484;8
263537;0061000280;5
255218;0060084456;0
272640;0425114236;0
240403;0786807067;9
241198;329320211X;0
247852;0553213814;10
269566;0590334514;0
259829;0345335287;0
261105;0394756568;0
273197;0553563513;10
244171;0553106643;0
244561;0060090383;5
257700;0446360589;0
264321;0553265741;0
265553;0517000164;6
259118;0140255125;8
242646;0449208281;10
251422;1562470752;0
264553;0345436911;0
265281;0805056645;0
250750;1575667622;0
272233;0553277375;6
268030;0425186180;0
261829;0441104029;0
252695;0553561278;0
247055;0380789825;10
271195;0879757655;0
275970;0375705457;0
256247;2841871991;0
272715;0553213237;7
245839;3794148061;0
259184;3442729246;0
256072;0826210945;0
269719;0553569791;0
261176;0553273914;7
276307;1898573239;0
244171;0553801589;0
249404;0440200989;8
258170;0679882898;0
255775;0787605085;0
271195;0345434943;0
245592;0441005756;0
264321;067187862X;0
275970;1570671672;0
274308;013447905X;0
275970;0816027412;0
249894;0671876465;9
249894;0345314573;8
262587;0553352695;0
258083;0826308791;6
258185;0060507365;9
242399;1558746803;9
266226;0786014555;0
251613;0671253085;0
271284;059048351X;0
274199;0142000108;9
245963;0425138232;0
258404;0553249002;0
240687;0743435923;0
250494;0805062971;8
254899;0394577892;0
275970;0743406184;0
244685;0671553046;9
246000;0345353145;0
245963;0380721228;0
240224;0375412530;6
251613;0449231887;0
262902;0743424425;6
262238;0916371042;0
274301;0671717618;0
242299;0345440633;0
259260;0679312064;0
246655;0373702876;0
261611;0345423291;9
267282;0811806340;10
248718;0060974591;8
272897;0439568277;0
256111;2070363732;9
256407;0451184726;0
266718;0440442508;9
265313;0061090395;0
275306;0446310786;10
271241;0618135049;10
269439;0451409337;0
254465;0316678104;0
241713;0451170822;1
245963;0425080749;0
271705;0345436911;8
268300;0156439611;7
264031;0553561618;0
245963;0877935726;0
245295;0380722852;10
246513;0967943302;9
245963;0440932599;0
268330;0451165888;0
241614;0805063021;0
250383;0312278489;0
250359;0671773240;6
271284;0679724222;0
248572;3404146204;0
253202;1573225053;7
244420;0385335881;10
268657;1585420700;6
261829;1893896048;7
257204;0812515595;0
275970;0140256350;0
240829;038079747X;0
246655;0743418131;0
269890;0425168964;0
253821;0804113475;0
246655;0373121776;0
261896;0821742965;0
259866;0345400577;0
262399;051513628X;0
250764;0425142078;0
261731;0142001740;8
258534;0312990456;10
276641;0345447840;8
243200;0671630822;0
254465;0312961294;0
275020;0399145672;0
272788;0425147584;0
247262;0061009059;9
249746;0887391133;5
267249;0812519671;0
252827;1559275596;0
249040;0425181103;0
268025;0689849486;6
268032;0449907481;0
269321;044661114X;9
267635;0345430573;0
276402;0671871005;0
253626;1400032717;9
258095;0060502258;0
245371;0671003755;0
251843;0060959037;0
256167;0843176725;0
269566;0316313114;0
244070;0802136303;0
240267;067145935X;0
247898;0140127836;0
257204;0380793326;0
248718;0671793233;9
264300;0380726246;0
245645;1577490886;0
275573;325722768X;0
242824;0821762990;0
250330;0892966912;0
244685;0061030643;10
240653;0385048734;6
245410;0805318801;10
244593;0743418204;0
247852;0843944498;0
272715;0943595541;0
262399;0345425294;0
269566;081671505X;0
248289;185958487X;5
259035;0743418174;0
248718;0914918214;9
275723;0399234519;7
265340;0380001225;9
255697;0385484011;8
260720;0345377443;0
259660;8401328306;0
270713;0515128600;0
242006;0821772570;0
254995;0156027321;8
245827;0590485857;0
242069;0452282152;8
265115;0312970951;0
242640;0071351450;7
263107;3518389742;0
266807;0440208459;0
269566;0451129504;0
276463;0312241224;9
258278;0816731993;0
245963;0890815585;0
269281;0805019375;0
243929;0142001740;6
249894;1400034779;0
240258;0486293831;0
256402;0812557018;10
245963;044021789X;0
263877;0804111898;0
268262;044177427X;0
256247;0747250081;0
259107;1550548913;0
246655;0553131427;0
271538;0679448594;0
245827;0679879242;0
259255;0816742227;9
254465;0743222253;0
258459;0394537602;9
249353;067943108X;0
271284;1557736138;0
258690;0553230212;7
275970;0743211553;0
268751;0805065075;0
266796;0020446500;0
273979;0553272535;0
260180;1573220485;0
243077;0375719342;7
251394;0435070053;0
262541;0373484232;3
249894;0440445450;0
266226;0440221471;0
258084;039914899X;8
266226;0883659700;0
250461;0767902416;8
247855;0671776134;0
266226;043936213X;0
245827;0439159865;0
260475;055321246X;0
261829;0425128164;0
260897;0439236193;0
271538;0451160525;6
251394;0590412795;7
245963;0440113555;0
274701;0679745203;5
252848;0553232843;0
273920;067179647X;7
249628;0451183665;0
249446;0330488570;0
245001;2264035870;4
275891;3442353882;0
240225;1400052726;0
259004;0553268937;9
274549;157344054X;4
265498;1919734430;8
248067;0385504209;9
264321;0440213738;0
245963;0553246410;0
252695;0445409134;8
271604;0425181464;0
242640;0375726403;0
258240;0440117437;0
269566;0515131229;0
244097;0440235804;8
251518;0380807947;0
257450;0375507280;0
268156;0312955006;8
250405;0452009308;0
262399;0064408566;0
269719;0446609617;0
274308;0446609404;0
242824;0380814714;0
249111;0446341916;0
269566;0451169689;0
246959;1843532751;10
248098;0385314825;0
259829;0871114410;6
268939;0375726004;8
249688;0316789089;8
256407;0451163524;0
264031;0399147128;0
244964;0754014738;10
250405;0425174271;0
275970;0743437993;0
274056;0679412611;0
247429;0912656433;0
245157;0792263626;0
257676;0385484518;8
265313;080410526X;0
251613;0451158717;0
267328;0380715732;7
262998;0138212562;7
264031;0971880107;0
257368;1566250250;0
243930;0156226006;0
254971;0802130208;0
263163;0452260116;0
249407;0671722891;0
243004;0836218787;10
245963;0812551206;0
264031;0446533270;0
266515;0394500792;8
254971;0345447840;0
257576;051511779X;0
245598;0821720600;0
251843;0316788228;0
241086;0743456653;0
270737;0312263120;8
264321;0064471101;7
274808;0380705001;0
265595;0002257122;0
273190;067164159X;9
242962;0671520350;8
244171;0696213907;0
259550;0395405750;0
269321;0380802325;0
246655;0385319002;7
252695;038070854X;0
261932;0440226724;0
253556;0892747781;0
250709;0345460618;5
244627;0553297619;10
275970;0375703055;0
270713;0684862670;9
255550;0689713703;0
254465;031214296X;0
248718;0345331400;9
272623;0886779774;8
242824;0515107271;0
272980;0060177349;6
271538;0446605239;0
268110;0060532149;0
243206;014027782X;7
245963;0425100057;0
254064;0688084257;0
252695;0373263473;0
249862;0439139600;0
253337;0752202847;0
257204;0446351709;0
242083;0312267363;0
245750;0590962736;0
256167;0590442368;0
254465;0385335881;10
249791;0553228668;0
267444;0553256092;5
265313;0553279912;0
272482;0552998001;7
258185;0425178765;0
244688;0312989393;0
243360;0060938455;9
271354;1563431343;8
242824;0449006565;0
256603;1573221368;0
273979;0553213156;0
271659;0345384466;9
246915;0345361792;0
267409;038079487X;0
274393;0609804138;8
250925;0836217128;9
242006;0515134015;0
244171;0451524934;9
251426;0751507512;0
276680;0345436911;8
275922;0553278223;0
246671;0553481185;0
264152;0812565959;6
262998;0887308813;8
259249;0785343113;10
244657;0345370775;0
258185;0380800268;2
246437;157566402X;0
254971;0446672211;0
255618;0887621112;0
252695;0373195621;0
268030;1931561648;0
253556;0842365826;10
256486;0312868294;3
274061;0373119038;0
260897;0066214122;0
271746;0517073919;0
242824;038081479X;0
242260;0399144463;0
271674;0380808803;0
242006;0671747150;9
259064;0676974562;0
259264;0452260116;0
242824;0373167423;0
251613;013529990X;0
241513;0446603589;10
244484;0449000877;7
242999;0517361116;0
250184;0312421036;0
271516;0345353145;0
273075;0380730391;9
250163;0631221204;7
250510;0316769495;0
244994;067102423X;0
254022;0684872153;0
261561;0345346971;0
252695;0142000116;0
251423;0060934417;8
241666;0445204745;0
275210;059035342X;0
247060;0451142934;8
257204;1560760672;0
270256;0671775715;0
245963;0764501801;0
245827;0064400557;0
269449;0446605158;7
252071;0446611808;0
246655;0345391373;0
256820;0061000205;0
269890;0312105134;0
242824;0380812525;0
252695;0445402296;8
271538;0671680110;0
269799;0446310492;0
241076;0938077309;0
255218;0440229499;0
268711;3442729785;8
256407;051513628X;0
275970;0802151051;0
251170;0821757598;0
257777;0767904168;6
241048;1888125799;8
269340;0786868716;9
269719;0451200748;0
271705;0330375253;9
258185;0380820684;6
269564;1588204030;0
254899;0441810764;0
252695;0312983212;0
264124;0345417941;6
274308;0030131766;0
247855;0142000205;10
271622;0393320278;0
245858;0345300882;0
253771;039595617X;9
242083;0802130348;8
252848;0380754592;0
244572;1878424319;10
254899;0394460553;0
274456;1853260584;0
249146;0971880107;0
274308;1558020233;0
250764;0440552966;0
271705;0375704558;0
269566;0440411335;0
253668;0877733759;10
271056;0310385709;10
269841;0448095130;5
247201;0312311338;0
268622;1561383570;0
254465;0373122012;0
265595;0908610904;0
259669;0671528904;0
250645;0373286457;0
258377;0759902666;10
244994;0671037692;0
258152;0812513754;0
244736;0449212602;7
242073;0939286017;0
250164;0812570928;7
242824;0505524651;0
267897;0375725466;9
274656;0786866276;0
259234;0345452569;0
261895;044970078X;0
256731;0451210557;7
258152;014029516X;0
245537;0743410068;8
260573;0345362861;0
248033;038071082X;8
258777;0553574671;0
269719;0451137965;0
242299;0671042564;0
262399;055357602X;0
266154;0786868015;5
251851;0767904133;0
249989;0671004549;0
256167;0735200939;0
257161;0671707175;0
241198;3442439019;0
275970;014014904x;0
254299;0743202562;0
270828;0307162818;0
254206;0446345598;0
259118;006109868X;6
266055;0671744585;9
270966;0679436448;0
246671;0843945338;0
251422;0373160593;0
268110;0156007479;0
240543;0394498186;10
253964;0316781010;9
265889;0312968647;8
242247;0345370775;0
270737;0671027387;8
242006;0373052898;10
242824;0373245505;0
246959;0380766752;0
268833;0316666343;0
268927;044661064X;0
269566;0743411250;0
250406;0375410546;0
266229;0316666343;0
271195;0697125343;7
245649;0345361792;0
243077;1561465127;0
243360;0816514526;0
251003;0451091515;10
260699;0688149111;8
274808;0671535471;0
248718;0671015443;0
272273;0812523482;0
275970;0517547465;0
249989;039914739X;0
257327;0553070037;0
259260;0061044539;0
242824;051512463X;0
254038;0553213695;8
256167;0140293248;0
250405;0689710879;0
246671;0553292285;0
257204;1560766867;8
276680;0671883925;8
254068;068983585X;0
242959;155013325X;8
252846;055305340X;0
265591;9500304767;0
275996;0871137666;0
261829;0515093491;0
261829;0449219453;0
266522;0553234595;8
258185;0380816113;0
245616;0440234743;10
255218;0385501536;0
248496;0553232495;10
244662;0440224624;0
270605;0802131379;9
245827;014014529X;0
244349;055302745X;0
249140;0767903579;7
274061;0345336038;0
265115;0312972857;5
270838;0553212524;10
242006;0821772422;0
254467;0743245237;0
274656;0446342963;7
243930;0812543904;7
241861;0425159728;7
266753;0812968190;7
252848;0312954166;0
268392;3502518785;0
245963;0345253787;0
269566;0451143159;0
260025;0140244824;8
257153;0671876880;5
247852;0440229499;0
257700;0674931505;0
258534;0449003787;9
266840;0451524934;8
252126;0345404777;0
245827;0830702547;0
243964;0380756293;0
260655;0002257203;0
266226;0888995792;0
265889;0373712006;7
253563;0821767321;0
273110;0671758896;0
252695;0373168152;0
243077;0345350588;0
251050;0842373195;10
245001;2246628415;9
260739;0671021273;0
268932;0394569652;8
247518;0446609145;8
244662;0373806841;7
243206;0340401486;0
260394;0805028234;8
254522;0345338200;8
244420;0425147622;9
276018;3293200478;0
265115;0891076433;0
244277;0898863635;0
254073;0312858132;5
261037;1903039541;5
245007;0395500761;0
247755;0553256971;8
240258;0894340484;0
259078;0804114153;7
268932;0694009121;5
268544;0671741209;0
242006;0821764721;0
242310;0425150984;6
245963;0688008054;0
251391;067102423X;0
264082;0440183057;0
273190;0812882792;0
247958;0373226535;0
270713;0446525561;8
269799;0689804458;9
252695;0425108937;0
247998;0425067823;0
269566;0786889608;0
247447;0380798573;0
274111;8806118277;0
250750;1582341656;0
273718;0340244763;10
245698;0849942411;6
274957;0380731797;8
260944;0836220730;0
252222;006101351X;0
268022;1567182542;0
261829;0373271999;0
266457;0671011367;6
257204;0451450531;0
244662;0380807939;0
269759;0316769487;0
245649;0064407667;9
246671;0380789892;0
276018;3499224623;10
276394;0684831694;0
259626;0156007479;0
252695;096278611X;0
252347;0373764529;0
250645;0440236061;0
243745;0373169604;0
252820;0061007145;0
251518;0843937858;9
269719;055380250X;0
252953;0061054658;10
266865;0316137251;0
245827;0812570944;0
247241;0743464451;0
255218;0060915153;0
253821;0590514776;0
259622;0156007479;7
246671;0843921412;0
257605;0679721827;10
257028;0262690128;8
254465;0380775255;0
270981;0747273731;8
250018;0451203771;0
251613;0385080379;0
274308;0553441191;0
269566;0312971087;0
272660;1568580797;0
271448;0446516759;0
263163;0553273914;0
251843;1582614687;10
247852;0380793660;8
274061;0373270542;0
266642;1566190924;0
249407;0446521582;9
261578;0345418794;9
265834;0306806738;0
257419;0446610038;9
244056;038549081X;10
273993;0590568752;5
242824;0553565060;0
265889;0451404467;0
242830;0451168690;0
244685;067101420X;9
258690;0451195523;0
255099;3150000386;0
250949;043916589X;7
257204;0812513711;9
245963;0312063385;0
242006;0373482299;10
259155;2070513335;0
267061;0553564528;0
242106;0312963319;0
243077;0345368754;0
254690;0590877518;0
258938;0446602175;0
245088;044021145X;5
244418;0451163966;8
252865;1558154175;8
261829;0671899333;0
250163;0671504398;0
244375;0877852472;0
247521;0590427717;0
259906;0671521489;0
266226;014250047X;0
264321;0886772540;7
245088;006104055X;7
269728;0061020443;0
243929;0394758498;0
255092;0140113428;0
272715;0486419266;0
251422;0553562614;5
254995;0385493622;8
275761;044100931X;7
264191;2738112188;6
253821;0505522659;0
259004;0451456521;0
242299;0743457870;0
257204;0345390407;10
243004;0679821481;10
271448;1565122968;0
256402;0446350397;0
241666;0449245136;7
246550;0440234743;0
257204;0886776805;0
245963;0590426893;0
258334;038550120X;5
271583;0553101633;0
245827;0816137552;0
275970;0446357200;0
241548;1582616868;10
262070;0425173895;0
248718;0394532589;10
258553;0452283485;0
244708;1588550257;8
241980;0060579447;9
269321;0505522438;0
263500;038072118X;0
271705;0399501487;0
240956;3453171691;7
274056;0553234811;10
259260;0425141438;0
270265;1573220779;8
241198;3150400368;10
271705;0156028794;0
241042;014028009X;0
254498;8804503548;0
242824;0440224578;0
262187;8445071408;9
254289;0842329269;10
245645;0449203883;9
244572;1885223889;10
270820;0440242002;5
258185;0505525526;0
246798;0451528352;0
266045;1558504346;0
259660;8403595425;5
241565;0373161573;5
249989;0553582127;0
249384;0771098510;0
256167;0671729454;0
254206;0964230445;10
268833;0373122861;5
245604;0743417682;9
245645;0345446860;8
258185;0440222109;0
274111;0070063907;5
249894;089577819X;7
270256;0373707797;0
272640;0786904844;0
268191;0449212629;0
250383;0451408977;0
270901;0679729089;0
262186;0836220889;8
245839;380003932X;0
250674;0380820293;0
265313;0671254154;0
264317;0440206154;0
245963;0425109240;0
274220;3320016822;7
254465;0380486865;0
242824;0425192784;0
270091;0440235774;6
250510;0425189864;0
242083;1550548913;8
245827;0897301455;0
257204;1560763213;0
249064;0380800802;8
240887;0385336594;0
249480;0679435328;9
271284;044022103X;0
262666;1576738167;9
273830;0060924837;7
267738;0345412214;0
243585;1551669471;0
264152;0345325478;0
259655;0345458834;7
259380;0061013315;0
266753;0425103633;0
269988;042513525X;0
257703;0446675059;9
241597;034543479X;7
251122;0440234743;9
266226;0740733265;0
254465;037370805X;0
275111;0671045555;0
254994;0425081117;0
250764;0515082465;0
254465;0963484001;0
259445;0385498799;7
251422;0451147316;0
242824;0786010541;0
271284;0380710056;0
265664;0345342313;6
245410;0399138935;0
250366;1573229326;0
269566;0380784009;0
253271;0340786299;6
273110;0373098685;0
259625;0380727692;0
268013;0345337662;0
256402;0553565699;0
240401;0786863986;0
274061;0553273299;0
242273;0875421911;8
276050;0060173289;9
263460;0373763204;0
265115;0060638656;0
264321;0440140854;0
266000;0786869011;5
251642;0425158632;0
254241;0345362276;0
269439;042518272X;0
259625;0439147492;0
262310;0316779059;0
267738;1576737330;0
275970;1558610693;0
271195;067153081X;8
264276;0316543837;8
244349;0449209911;0
253821;0880702060;0
258534;0375701311;0
269719;0515121487;0
245827;0446404071;0
